Year,Month,Day,Tmin,Tmax
2015,1,1,-0.48,6.04
2015,1,2,-0.96,5.6
2015,1,3,-0.33,6.25
2015,1,4,-0.26,6.35
2015,1,5,-1.26,5.37
2015,1,6,-1.03,5.63
2015,1,7,-0.51,6.17
2015,1,8,-0.66,6.05
2015,1,9,-0.54,6.19
2015,1,10,-0.81,5.95
2015,1,11,-0.19,6.6
2015,1,12,-0.2,6.61
2015,1,13,-0.42,6.41
2015,1,14,-0.02,6.83
2015,1,15,-0.23,6.66
2015,1,16,-0.66,6.25
2015,1,17,-0.19,6.74
2015,1,18,-0.62,6.33
2015,1,19,0.06,7.04
2015,1,20,-0.23,6.78
2015,1,21,-0.23,6.8
2015,1,22,-0.36,6.69
2015,1,23,0.35,7.43
2015,1,24,-0.08,7.02
2015,1,25,-0.12,7.0
2015,1,26,-0.04,7.1
2015,1,27,0.32,7.49
2015,1,28,0.32,7.52
2015,1,29,0.4,7.61
2015,1,30,0.47,7.71
2015,1,31,1.13,8.39
2015,2,1,0.3,7.59
2015,2,2,0.33,7.64
2015,2,3,0.3,7.63
2015,2,4,0.87,8.22
2015,2,5,1.12,8.49
2015,2,6,0.76,8.16
2015,2,7,0.59,8.0
2015,2,8,0.67,8.11
2015,2,9,1.27,8.72
2015,2,10,1.39,8.86
2015,2,11,1.4,8.89
2015,2,12,1.07,8.58
2015,2,13,1.47,9.0
2015,2,14,1.52,9.07
2015,2,15,1.65,9.21
2015,2,16,1.97,9.55
2015,2,17,1.84,9.44
2015,2,18,2.09,9.71
2015,2,19,1.98,9.62
2015,2,20,2.16,9.81
2015,2,21,2.38,10.05
2015,2,22,1.75,9.44
2015,2,23,2.25,9.95
2015,2,24,2.31,10.02
2015,2,25,2.36,10.09
2015,2,26,2.59,10.34
2015,2,27,3.32,11.08
2015,2,28,2.61,10.38
2015,3,1,3.36,11.15
2015,3,2,2.55,10.35
2015,3,3,3.14,10.95
2015,3,4,3.43,11.25
2015,3,5,3.69,11.53
2015,3,6,3.85,11.7
2015,3,7,4.0,11.86
2015,3,8,3.72,11.6
2015,3,9,3.81,11.69
2015,3,10,4.39,12.28
2015,3,11,4.15,12.05
2015,3,12,3.89,11.8
2015,3,13,4.07,11.99
2015,3,14,4.27,12.2
2015,3,15,4.89,12.83
2015,3,16,4.9,12.84
2015,3,17,5.22,13.17
2015,3,18,4.96,12.91
2015,3,19,5.29,13.25
2015,3,20,5.59,13.55
2015,3,21,5.39,13.36
2015,3,22,5.79,13.77
2015,3,23,5.53,13.51
2015,3,24,5.77,13.75
2015,3,25,5.89,13.88
2015,3,26,5.74,13.73
2015,3,27,6.47,14.46
2015,3,28,6.26,14.26
2015,3,29,6.57,14.57
2015,3,30,6.87,14.86
2015,3,31,6.99,14.99
2015,4,1,7.2,15.2
2015,4,2,7.07,15.07
2015,4,3,7.09,15.09
2015,4,4,7.34,15.34
2015,4,5,6.92,14.91
2015,4,6,7.13,15.13
2015,4,7,7.31,15.31
2015,4,8,7.56,15.55
2015,4,9,8.18,16.17
2015,4,10,7.86,15.85
2015,4,11,8.18,16.16
2015,4,12,8.9,16.88
2015,4,13,8.45,16.42
2015,4,14,8.97,16.93
2015,4,15,8.52,16.48
2015,4,16,8.9,16.86
2015,4,17,8.78,16.72
2015,4,18,9.12,17.06
2015,4,19,9.66,17.59
2015,4,20,8.89,16.82
2015,4,21,9.78,17.69
